Date,Open,High,Low,Close,Adj Close,Volume
2023-09-25,0.060742,0.061200,0.060545,0.060959,0.060959,117409471
2023-09-26,0.060956,0.061116,0.059907,0.060599,0.060599,141794234
2023-09-27,0.060593,0.061332,0.060275,0.060504,0.060504,153818653
2023-09-28,0.060497,0.061661,0.060406,0.061484,0.061484,137019315
2023-09-29,0.061486,0.062310,0.061385,0.062178,0.062178,141947701
2023-09-30,0.062180,0.062506,0.061799,0.062141,0.062141,124411353
2023-10-01,0.062140,0.063519,0.061896,0.063193,0.063193,162108911
2023-10-02,0.063190,0.063961,0.061626,0.062060,0.062060,275648168
2023-10-03,0.062054,0.062269,0.061228,0.061386,0.061386,156615776
2023-10-04,0.061389,0.061561,0.060458,0.061488,0.061488,141610437
2023-10-05,0.061486,0.061607,0.060839,0.060923,0.060923,114148166
2023-10-06,0.060920,0.061555,0.060821,0.061426,0.061426,109783884
2023-10-07,0.061425,0.061669,0.061129,0.061455,0.061455,97620505
2023-10-08,0.061456,0.061611,0.060876,0.061008,0.061008,92483679
2023-10-09,0.061010,0.061030,0.058260,0.058779,0.058779,241183528
2023-10-10,0.058779,0.059204,0.058608,0.059025,0.059025,123311323
2023-10-11,0.059041,0.059454,0.057813,0.058470,0.058470,146066511
2023-10-12,0.058470,0.058495,0.057466,0.057897,0.057897,116644185
2023-10-13,0.057897,0.058756,0.057824,0.058398,0.058398,139290300
2023-10-14,0.058400,0.059930,0.058400,0.059859,0.059859,112567930
2023-10-15,0.059860,0.059860,0.059125,0.059350,0.059350,105304368
2023-10-16,0.059357,0.061226,0.059351,0.060114,0.060114,255254744
2023-10-17,0.060110,0.060156,0.058801,0.059120,0.059120,154163593
2023-10-18,0.059116,0.059274,0.058362,0.058673,0.058673,113718362
2023-10-19,0.058668,0.058883,0.058013,0.058883,0.058883,119806282
2023-10-20,0.058878,0.060337,0.058700,0.059965,0.059965,154146216
2023-10-21,0.059965,0.061363,0.059571,0.061188,0.061188,149488431
2023-10-22,0.061189,0.061667,0.060563,0.061596,0.061596,152154020
2023-10-23,0.061828,0.067238,0.061769,0.067085,0.067085,618990461
2023-10-24,0.067111,0.069767,0.065124,0.066556,0.066556,676497484
2023-10-25,0.066564,0.069454,0.065049,0.068361,0.068361,536305756
2023-10-26,0.068364,0.074888,0.068132,0.071867,0.071867,1010931815
2023-10-27,0.071872,0.072179,0.067624,0.067881,0.067881,468362462
2023-10-28,0.067882,0.069691,0.067710,0.069001,0.069001,246982558
2023-10-29,0.069002,0.070084,0.067910,0.069359,0.069359,203013207
2023-10-30,0.069359,0.070200,0.068274,0.069650,0.069650,292736698
2023-10-31,0.069648,0.070722,0.066970,0.068277,0.068277,474946795
2023-11-01,0.068279,0.069554,0.066129,0.068841,0.068841,461539028
2023-11-02,0.068859,0.070704,0.067186,0.067934,0.067934,501730943
2023-11-03,0.067931,0.068208,0.066640,0.068144,0.068144,282752934
2023-11-04,0.068147,0.069257,0.068059,0.069079,0.069079,203958701
2023-11-05,0.069079,0.071599,0.068981,0.071224,0.071224,447538899
2023-11-06,0.071224,0.076386,0.070621,0.076381,0.076381,707371164
2023-11-07,0.076389,0.076389,0.071898,0.073518,0.073518,789220960
2023-11-08,0.073517,0.076681,0.073027,0.075481,0.075481,531673694
2023-11-09,0.075474,0.077736,0.070557,0.073461,0.073461,964429145
2023-11-10,0.073465,0.075454,0.073155,0.075444,0.075444,649733691
2023-11-11,0.075445,0.081698,0.074922,0.078406,0.078406,1345253621
2023-11-12,0.078420,0.079981,0.076144,0.077981,0.077981,727221576
2023-11-13,0.077980,0.079398,0.074176,0.074782,0.074782,829471613
2023-11-14,0.074778,0.075427,0.070281,0.072457,0.072457,708265059
2023-11-15,0.072456,0.076408,0.072419,0.076356,0.076356,503454120
2023-11-16,0.076353,0.082837,0.076047,0.079277,0.079277,1563730284
2023-11-17,0.079326,0.087061,0.079323,0.086304,0.086304,2031597493
2023-11-18,0.086327,0.086394,0.079829,0.080383,0.080383,1340580447
2023-11-19,0.080395,0.080598,0.077984,0.080576,0.080576,620299419
2023-11-20,0.080575,0.082040,0.077816,0.077879,0.077879,668234221
2023-11-21,0.077879,0.078698,0.071492,0.072119,0.072119,860811107
2023-11-22,0.072114,0.076561,0.071884,0.075784,0.075784,440962821
2023-11-23,0.075770,0.076348,0.075162,0.076200,0.076200,279606815
2023-11-24,0.076199,0.078429,0.076149,0.078217,0.078217,401116993
2023-11-25,0.078216,0.079105,0.077763,0.078955,0.078955,291859035
2023-11-26,0.078952,0.078980,0.076346,0.078704,0.078704,343339848
2023-11-27,0.078690,0.081320,0.077089,0.078788,0.078788,743996999
2023-11-28,0.078792,0.081031,0.077037,0.081009,0.081009,618900678
2023-11-29,0.081004,0.082842,0.079786,0.080593,0.080593,596560786
2023-11-30,0.080599,0.084217,0.080537,0.083417,0.083417,645565938
2023-12-01,0.083414,0.084908,0.082504,0.083857,0.083857,519429439
